ubremen-r27-docks;19;5;27;4;650;600000;COBRA-Distributed;SUCCESS;22701;15026;4989885;9933022;31;17;3263;242;3285;1832;3305;1842;195417
ubremen-r27-docks;20;5;27;5;650;600000;COBRA-Distributed;SUCCESS;24380;10639;72;66;41;17;3371;277;4588;1405;4617;1428;142437
ubremen-r27-docks;22;7;27;2;650;600000;COBRA-Distributed;SUCCESS;27230;17856;1233038;5460133;41;20;3286;267;4502;3239;5191;4655;198822
ubremen-r27-docks;24;7;27;4;650;600000;COBRA-Distributed;SUCCESS;23582;15084;2504048;7671057;42;25;3341;252;3844;2604;5810;5937;223242
ubremen-r27-docks;26;9;27;1;650;600000;COBRA-Distributed;SUCCESS;30497;14542;3011159;8467532;62;47;3395;249;5712;2747;5734;2743;278312
ubremen-r27-docks;27;9;27;2;650;600000;COBRA-Distributed;SUCCESS;21458;11876;95;60;71;50;3461;224;4478;3752;4493;3746;139907
ubremen-r27-docks;28;9;27;3;650;600000;COBRA-Distributed;SUCCESS;25558;12259;2037189;7165265;77;93;3336;262;4553;2817;4564;2820;207346
ubremen-r27-docks;29;9;27;4;650;600000;COBRA-Distributed;SUCCESS;22096;11991;1032420;5203560;114;261;3412;256;4209;3293;4893;3427;173162
ubremen-r27-docks;30;9;27;5;650;600000;COBRA-Distributed;SUCCESS;28999;15792;2069304;7262895;51;32;3433;242;5183;2941;5604;2987;220886
ubremen-r27-docks;31;10;27;1;650;600000;COBRA-Distributed;SUCCESS;27541;12913;940556;5018550;63;33;3374;266;5539;4027;5830;4101;202354
ubremen-r27-docks;32;10;27;2;650;600000;COBRA-Distributed;SUCCESS;30297;14609;951631;5053562;107;161;3340;263;5096;2425;5221;2401;216588
ubremen-r27-docks;35;10;27;5;650;600000;COBRA-Distributed;SUCCESS;23373;14995;1008429;5348701;58;33;3439;240;5292;4179;5305;4175;205925
ubremen-r27-docks;36;12;27;1;650;600000;COBRA-Distributed;SUCCESS;29528;12897;850417;4929686;92;65;3309;264;7574;5692;7591;5697;240543
ubremen-r27-docks;37;12;27;2;650;600000;COBRA-Distributed;SUCCESS;26380;13805;851810;4970160;81;49;3363;256;7257;5669;7450;5620;204175
ubremen-r27-docks;38;12;27;3;650;600000;COBRA-Distributed;SUCCESS;24582;12700;859829;5003573;82;64;3435;241;5523;3120;5554;3119;221442
ubremen-r27-docks;39;12;27;4;650;600000;COBRA-Distributed;SUCCESS;24325;12962;858144;5041473;110;181;3322;276;5096;3110;5233;3152;192439
ubremen-r27-docks;40;12;27;5;650;600000;COBRA-Distributed;SUCCESS;22502;10949;863265;5073489;79;37;3328;266;4849;2767;5567;3539;166996
